Espèces,Année,Effectif total
Bondrée apivore,2016,4491
Bondrée apivore,2017,4816
Bondrée apivore,2018,6174
Bondrée apivore,2019,5496
Bondrée apivore,2020,5141
Bondrée apivore,2021,2631
Bondrée apivore,2022,3794
Bondrée apivore,2023,5743
Cigogne blanche,2016,143
Cigogne blanche,2017,98
Cigogne blanche,2018,285
Cigogne blanche,2019,112
Cigogne blanche,2020,271
Cigogne blanche,2021,284
Cigogne blanche,2022,198
Cigogne blanche,2023,301
Cigogne noire,2016,94
Cigogne noire,2017,138
Cigogne noire,2018,52
Cigogne noire,2019,101
Cigogne noire,2020,74
Cigogne noire,2021,79
Cigogne noire,2022,8
Cigogne noire,2023,86
Milan noir,2016,45042
Milan noir,2017,45840
Milan noir,2018,47724
Milan noir,2019,57768
Milan noir,2020,67070
Milan noir,2021,58873
Milan noir,2022,53338
Milan noir,2023,78929
Épervier d’Europe,2016,65
Épervier d’Europe,2017,146
Épervier d’Europe,2018,197
Épervier d’Europe,2019,103
Épervier d’Europe,2020,200
Épervier d’Europe,2021,398
Épervier d’Europe,2022,330
Épervier d’Europe,2023,311
