Année,species,Frequence
2023,corvidé spec.,81
2023,Milan royal,77
2023,Vautour fauve,75
2023,Grand Corbeau,70
2023,Gypaète barbu,69
2022,corvidé spec.,68
2023,Buse variable,67
2022,Grand Corbeau,65
2023,Linotte mélodieuse,65
2022,Buse variable,64
2022,Gypaète barbu,63
2020,Vautour fauve,63
2022,Vautour percnoptère,63
2023,Corneille noire,63
2022,Milan royal,62
2022,Vautour fauve,62
2017,Vautour fauve,61
2020,Faucon crécerelle,60
2017,Faucon crécerelle,59
2023,Circaète Jean-le-Blanc,59
2023,Aigle royal,56
2020,Milan royal,56
2020,Buse variable,56
2021,Pie bavarde,55
2023,Aigle botté,55
2021,Buse variable,55
2023,Bergeronnette grise,54
2021,corvidé spec.,53
2023,Faucon crécerelle / Faucon crécerellette,53
2021,Gypaète barbu,53
2021,Bergeronnette grise,53
2022,Circaète Jean-le-Blanc,52
2022,Aigle botté,52
2020,Gypaète barbu,52
2023,Épervier d’Europe,52
2022,Linotte mélodieuse,52
2021,Grand Corbeau,51
2019,Vautour fauve,51
2023,Vautour percnoptère,51
2017,Milan royal,51
2023,Pie bavarde,51
2021,Vautour fauve,51
2017,Circaète Jean-le-Blanc,50
2021,Milan royal,50
2023,Faucon crécerelle,49
2021,Corneille noire,49
2020,Circaète Jean-le-Blanc,48
2016,Vautour fauve,48
2021,Aigle royal,47
2020,Aigle botté,47
2022,Bergeronnette grise,47
2023,Pinson des arbres,46
2019,Vautour percnoptère,46
2016,Circaète Jean-le-Blanc,46
2016,Milan royal,46
2017,Buse variable,46
2020,Vautour percnoptère,46
2022,Aigle royal,46
2019,Faucon crécerelle,46
2020,Grand Corbeau,45
2016,Faucon crécerelle,45
2023,Rougequeue noir,44
2022,Corneille noire,44
2019,Circaète Jean-le-Blanc,44
2021,Faucon crécerelle,44
2016,Buse variable,44
2017,Vautour percnoptère,44
2022,Pinson des arbres,42
2019,Milan royal,41
2022,Faucon crécerelle,41
2018,Gypaète barbu,41
2019,Aigle royal,41
2022,Pipit spioncelle,40
2022,Faucon crécerelle / Faucon crécerellette,40
2020,Aigle royal,40
2023,Faucon hobereau,39
2016,Aigle botté,39
2023,Pipit spioncelle,38
2019,Gypaète barbu,38
2022,Pie bavarde,37
2020,Épervier d’Europe,37
2017,Aigle botté,37
2021,Pinson des arbres,36
2021,Aigle botté,36
2021,Circaète Jean-le-Blanc,35
2016,Épervier d’Europe,35
2023,Bruant jaune,35
2019,Aigle botté,34
2022,Faucon hobereau,34
2022,Épervier d’Europe,34
2020,corvidé spec.,33
2018,Circaète Jean-le-Blanc,33
2021,Pipit spioncelle,32
2021,Épervier d’Europe,32
2019,Buse variable,32
2021,Rougequeue noir,31
2018,Aigle botté,31
2021,Vautour percnoptère,31
2020,Pipit spioncelle,31
2016,Vautour percnoptère,30
2020,Corneille noire,30
2018,Vautour percnoptère,30
2017,Gypaète barbu,29
2021,Linotte mélodieuse,29
2018,Faucon hobereau,29
2021,Faucon hobereau,29
2019,Épervier d’Europe,28
2018,Aigle royal,28
2017,Aigle royal,27
2020,Bergeronnette grise,25
2018,Milan royal,25
2022,Bruant jaune,25
2017,Épervier d’Europe,25
2018,Faucon crécerelle,23
2020,Pie bavarde,21
2019,Faucon hobereau,21
2020,Rougequeue noir,21
2020,Faucon hobereau,21
2020,Bruant jaune,20
2021,Bruant jaune,20
2020,Linotte mélodieuse,20
2016,Aigle royal,19
2018,Buse variable,19
2022,Rougequeue noir,18
2020,Pinson des arbres,18
2017,Faucon hobereau,7
2018,Épervier d’Europe,6
2016,Faucon hobereau,4
2020,Faucon crécerelle / Faucon crécerellette,1
