Espèces,Année,Effectif total
Bondrée apivore,2016,4517
Bondrée apivore,2017,4907
Bondrée apivore,2018,6232
Bondrée apivore,2019,5546
Bondrée apivore,2020,5229
Bondrée apivore,2021,2708
Bondrée apivore,2022,3927
Bondrée apivore,2023,6015
Cigogne blanche,2016,143
Cigogne blanche,2017,98
Cigogne blanche,2018,285
Cigogne blanche,2019,143
Cigogne blanche,2020,271
Cigogne blanche,2021,307
Cigogne blanche,2022,198
Cigogne blanche,2023,320
Cigogne noire,2016,194
Cigogne noire,2017,365
Cigogne noire,2018,71
Cigogne noire,2019,259
Cigogne noire,2020,267
Cigogne noire,2021,220
Cigogne noire,2022,141
Cigogne noire,2023,229
Milan noir,2016,45054
Milan noir,2017,45921
Milan noir,2018,47936
Milan noir,2019,57842
Milan noir,2020,67111
Milan noir,2021,59025
Milan noir,2022,53369
Milan noir,2023,79351
Milan royal,2016,680
Milan royal,2017,3008
Milan royal,2018,969
Milan royal,2019,2035
Milan royal,2020,1772
Milan royal,2021,7661
Milan royal,2022,4211
Milan royal,2023,4214
Épervier d’Europe,2016,140
Épervier d’Europe,2017,348
Épervier d’Europe,2018,284
Épervier d’Europe,2019,264
Épervier d’Europe,2020,406
Épervier d’Europe,2021,885
Épervier d’Europe,2022,879
Épervier d’Europe,2023,872
